NA,s10,s100,s1000,smax,uplift,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,h0,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB,s10000
UnitedStates3590,0.144,0.293,0.448,3.448,0,1,1,1,1,1,0,0,0,0,0,0,0,0.25,0.25,0.25,0.418,0,1645.14,0,46.040620653,549.153954481,0.055177307,18.016466367,46.040620653,0.176582988,23.938458327,0.879703126
UnitedStates3591,0.14,0.286,0.436,3.436,0.2,4,4,5,5,1,2.333333333,2.333333333,2.333333333,1.25,1.25,1.25,1.25,1.25,1.25,1.25,5.194,1.632,1547.29,0,13.217162466,192.559546181,0.057748787,21.875325756,13.217162466,0.17243443,29.859934256,0.864528814
UnitedStates3592,0.148,0.302,0.462,3.462,0.2,2,3,2,3,3,2.666666667,2.666666667,2.666666667,1.75,1.75,1.75,1.75,3.5,3.5,3.5,4.828,1.645,291.884,0,20.369592342,155.876816511,0.056005432,11.321176764,20.369592342,0.179418768,15.369736293,0.911944599
UnitedStates3593,0.135,0.274,0.417,3.417,0.2,3,3,3,2,3,2.666666667,2.666666667,2.666666667,1.75,1.75,1.75,1.75,0.25,0.25,0.25,2.751,1.635,228.707,0,18.394492597,130.502371169,0.056223165,10.496204655,18.394492597,0.179569002,14.267406759,0.817379873
UnitedStates3594,0.137,0.278,0.424,3.424,0.2,5,4,2,3,3,1.333333333,1.333333333,1.333333333,0.75,0.75,0.75,0.75,0.25,0.25,0.25,2.16,1.441,214.047,0,1.509330485,12.749298943,0.058901067,12.454977109,1.509330485,0.188373767,16.837407584,0.829563753
UnitedStates3595,0.139,0.283,0.432,3.432,0.2,9,10,6,8,9,7.333333333,7.333333333,7.333333333,8,8,8,8,4.25,4.25,4.25,8.405,1.625,102.311,0,55.676976685,468.833293722,0.058454544,12.448297974,55.676976685,0.188024472,16.84420248,0.850232035
UnitedStates3596,0.159,0.324,0.497,3.497,0.2,4,3,4,3,1,0.666666667,0.666666667,0.666666667,0,0,0,0,0,0,0,2.846,1.805,205.757,0,17.279851803,171.958072379,0.056114954,14.83568845,17.279851803,0.179354477,19.963570712,0.976627647
UnitedStates3597,0.23,0.475,0.738,3.738,0.2,134,55,21,25,27,21.666666667,21.666666667,21.666666667,15.25,15.25,15.25,15.25,12.75,12.75,12.75,21.895,2.151,156.898,0,31.758089413,414.393941203,0.057418285,19.521407472,31.758089413,0.174863032,26.386430726,1.475917502
UnitedStates3598,0.245,0.506,0.786,3.786,0.2,4,3,2,1,2,0,0,0,0.75,0.75,0.75,0.75,1,1,1,1.967,2.152,1623.05,0,112.737517744,959.731542521,0.058363467,12.61031952,112.737517744,0.187340359,17.069870733,1.572268318
UnitedStates3599,0.263,0.545,0.849,3.849,0.2,8,2,2,2,1,0.333333333,0.333333333,0.333333333,0.75,0.75,0.75,0.75,0.75,0.75,0.75,3.283,2.197,1287.48,0,0.030812837,0.720807841,0.047279309,37.497060394,0.030812837,0.166206413,49.085736144,1.706184488
