NA,s10,s100,s1000,smax,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB
Philippines10699,0.11,0.221,0.334,3.334,2,1,1,1,1,0,0,0,0,0,0,0,0.25,0.25,0.25,1.77,0,0,0.15579429,3.604303526,0.059502911,35.20360581,0.15579429,0.166219275,49.30644866
Philippines10700,0.12,0.244,0.369,3.369,39,2,1,2,1,2,2,2,2.5,2.5,2.5,2.5,3.25,3.25,3.25,30.59,177.855,3.52,0.171375058,3.964735607,0.059503753,35.20326759,0.171375058,0.166221349,49.30611325
Philippines10701,0.113,0.229,0.345,3.345,10,1,3,1,2,1,1,1,1.5,1.5,1.5,1.5,3,3,3,11.515,346.163,0.838,0.092119392,2.162842344,0.049412863,37.07282134,0.092119392,0.160186106,49.55367122
Philippines10702,0.113,0.229,0.346,3.346,48,7,4,3,2,2.333333333,2.333333333,2.333333333,1.25,1.25,1.25,1.25,4,4,4,34.029,167.636,0,0.33776271,7.930286649,0.054040382,36.27167808,0.33776271,0.161441473,49.62758684
Philippines10703,0.114,0.231,0.349,3.349,30,3,4,1,2,0,0,0,0.75,0.75,0.75,0.75,1.25,1.25,1.25,19.131,263.932,0,0.288125234,6.848412937,0.055937462,36.12284012,0.288125234,0.16056404,50.03940918
Philippines10704,0.115,0.234,0.354,3.354,6,1,1,1,1,0,0,0,1,1,1,1,0.5,0.5,0.5,46.779,150.876,0.35,0.214596144,5.046302008,0.055647662,35.82170709,0.214596144,0.160890571,49.44960162
Philippines10737,0.108,0.219,0.33,3.33,44,2,2,5,9,5,5,5,6.25,6.25,6.25,6.25,4.25,4.25,4.25,90.375,100.698,21.4705,0.199570869,4.685996708,0.054707441,36.0541988,0.199570869,0.160055032,49.60295605
Philippines10706,0.169,0.35,0.539,3.539,17,2,4,3,4,3.333333333,3.333333333,3.333333333,2.5,2.5,2.5,2.5,1,1,1,10.806,364.759,208,0.352606564,8.290637203,0.049721099,37.05716327,0.352606564,0.162264765,49.46506025
Philippines10707,0.161,0.334,0.512,3.512,28,7,4,22,9,4.666666667,4.666666667,4.666666667,5.75,5.75,5.75,5.75,2.25,2.25,2.25,15.263,1186.56,5.451,17.45155859,256.5532049,0.054764717,22.19998019,17.45155859,0.175825339,29.48517471
Philippines10708,0.179,0.372,0.573,3.573,167,9,20,71,36,15.33333333,15.33333333,15.33333333,15.5,15.5,15.5,15.5,13.25,13.25,13.25,80.47,455.01,13.789,1.363955807,24.19145115,0.06072985,25.77943066,1.363955807,0.17053698,35.94721737
Philippines10709,0.161,0.332,0.51,3.51,5,1,1,1,1,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.5,0.75,0.75,0.75,4.657,1053.09,0,0.692572602,14.78201863,0.055694042,32.07453558,0.692572602,0.164739803,44.32223544
Philippines10710,0.15,0.31,0.475,3.475,1,1,1,1,1,0,0,0,0,0,0,0,0.25,0.25,0.25,4.673,356.905,0,0.390080624,3.278629166,0.065742601,11.63299289,0.390080624,0.19447317,16.0542845
Philippines10711,0.198,0.413,0.638,3.638,1,1,1,1,2,0,0,0,1,1,1,1,0.25,0.25,0.25,4.899,228.785,0,0.08021323,0.727711583,0.061906257,12.72399661,0.08021323,0.181178541,17.70381008
Philippines10712,0.148,0.303,0.464,3.464,4,1,1,1,1,0,0,0,0,0,0,0,0.75,0.75,0.75,2.322,275.746,0,0.168886225,0.743422111,0.05207614,6.370096595,0.168886225,0.18271382,8.377520777
