"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Argentina4348",0.018993,0.045062,0.080796,0.12622,0.17964,0.24445,0.3202,0.3989,0.48127,0.56364,0.64601,0.73904,0.83615,0.93365,1.0364,1.1384,1.2446,1.3512,1.4569,1.572
"Argentina4349",0.018993,0.045062,0.080796,0.12622,0.17964,0.24445,0.3202,0.3989,0.48127,0.56364,0.64601,0.73904,0.83615,0.93365,1.0364,1.1384,1.2446,1.3512,1.4569,1.572
"Argentina4350",0.033205,0.074329,0.12376,0.18396,0.25287,0.33228,0.42097,0.51453,0.61492,0.706415,0.79791,0.90685,1.0162,1.1286,1.2461,1.3665,1.4895,1.6157,1.7421,1.8753
"Argentina4375",0.033205,0.074329,0.12376,0.18396,0.25287,0.33228,0.42097,0.51453,0.61492,0.706415,0.79791,0.90685,1.0162,1.1286,1.2461,1.3665,1.4895,1.6157,1.7421,1.8753
"Argentina4376",0.033205,0.074329,0.12376,0.18396,0.25287,0.33228,0.42097,0.51453,0.61492,0.706415,0.79791,0.90685,1.0162,1.1286,1.2461,1.3665,1.4895,1.6157,1.7421,1.8753
"Argentina4377",0.033205,0.074329,0.12376,0.18396,0.25287,0.33228,0.42097,0.51453,0.61492,0.706415,0.79791,0.90685,1.0162,1.1286,1.2461,1.3665,1.4895,1.6157,1.7421,1.8753
"Argentina4378",0.033205,0.074329,0.12376,0.18396,0.25287,0.33228,0.42097,0.51453,0.61492,0.706415,0.79791,0.90685,1.0162,1.1286,1.2461,1.3665,1.4895,1.6157,1.7421,1.8753
"Argentina4379",0.033205,0.074329,0.12376,0.18396,0.25287,0.33228,0.42097,0.51453,0.61492,0.706415,0.79791,0.90685,1.0162,1.1286,1.2461,1.3665,1.4895,1.6157,1.7421,1.8753
"Argentina4380",0.033205,0.074329,0.12376,0.18396,0.25287,0.33228,0.42097,0.51453,0.61492,0.706415,0.79791,0.90685,1.0162,1.1286,1.2461,1.3665,1.4895,1.6157,1.7421,1.8753
"Argentina4381",0.033205,0.074329,0.12376,0.18396,0.25287,0.33228,0.42097,0.51453,0.61492,0.706415,0.79791,0.90685,1.0162,1.1286,1.2461,1.3665,1.4895,1.6157,1.7421,1.8753
"Argentina4382",0.033205,0.074329,0.12376,0.18396,0.25287,0.33228,0.42097,0.51453,0.61492,0.706415,0.79791,0.90685,1.0162,1.1286,1.2461,1.3665,1.4895,1.6157,1.7421,1.8753
"Argentina4383",0.038703,0.085599,0.14149,0.20828,0.28426,0.37108,0.4668,0.56758,0.6746,0.775305,0.87601,0.99053,1.1067,1.2262,1.3494,1.4752,1.6052,1.7352,1.8645,2.0028
"Argentina4413",0.03853,0.085322,0.14134,0.20806,0.28393,0.3709,0.46608,0.56522,0.67202,0.7778,0.88358,0.99785,1.1152,1.2357,1.3587,1.4843,1.614,1.7452,1.8754,2.0125
"Argentina4467",0.03853,0.085322,0.14134,0.20806,0.28393,0.3709,0.46608,0.56522,0.67202,0.7778,0.88358,0.99785,1.1152,1.2357,1.3587,1.4843,1.614,1.7452,1.8754,2.0125
"Argentina4468",0.030397,0.068075,0.11512,0.1743,0.241,0.31958,0.40791,0.49987,0.59979,0.69351,0.78723,0.89171,0.99876,1.11,1.225,1.344,1.4647,1.5817,1.7025,1.8346
"Argentina4469",0.030397,0.068075,0.11512,0.1743,0.241,0.31958,0.40791,0.49987,0.59979,0.69351,0.78723,0.89171,0.99876,1.11,1.225,1.344,1.4647,1.5817,1.7025,1.8346
"Argentina4474",0.030397,0.068075,0.11512,0.1743,0.241,0.31958,0.40791,0.49987,0.59979,0.69351,0.78723,0.89171,0.99876,1.11,1.225,1.344,1.4647,1.5817,1.7025,1.8346
"Argentina4492",0.030397,0.068075,0.11512,0.1743,0.241,0.31958,0.40791,0.49987,0.59979,0.69351,0.78723,0.89171,0.99876,1.11,1.225,1.344,1.4647,1.5817,1.7025,1.8346
"Argentina4493",0.029614,0.065001,0.11079,0.16885,0.23545,0.31289,0.40043,0.49362,0.59459,0.68512,0.77565,0.88165,0.98732,1.0994,1.215,1.3308,1.4485,1.5653,1.688,1.8194
